,Name,Drive,NumberofSeats,Battery,Car_name_link,Efficiency_Wh_km,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
33,Opel Zafira-e Life L 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1349/Opel-Zafira-e-Life-L-75-kWh,262,280.0,70075.0,260,130,13.3
34,Peugeot e-Traveller Standard 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1351/Peugeot-e-Traveller-Standard-50-kWh,250,290.0,53640.0,185,130,13.1
35,Peugeot e-Traveller Long 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1352/Peugeot-e-Traveller-Long-50-kWh,250,290.0,54430.0,185,130,13.1
36,Peugeot e-Traveller Standard 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1353/Peugeot-e-Traveller-Standard-75-kWh,257,290.0,59640.0,265,130,14.3
37,Peugeot e-Traveller Long 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1354/Peugeot-e-Traveller-Long-75-kWh,262,280.0,60430.0,260,130,14.3
38,Porsche Taycan Plus,Rear Wheel Drive,4,83.7,https://ev-database.org/car/1924/Porsche-Taycan-Plus,173,1190.0,98863.0,485,230,5.4
39,Tesla Model S Dual Motor,All Wheel Drive,5,95.0,https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor,165,800.0,95970.0,575,250,3.2
40,Tesla Model S Plaid,All Wheel Drive,5,95.0,https://ev-database.org/car/1405/Tesla-Model-S-Plaid,170,780.0,110970.0,560,282,2.1
41,Tesla Model X Dual Motor,All Wheel Drive,7,95.0,https://ev-database.org/car/1407/Tesla-Model-X-Dual-Motor,200,660.0,100970.0,475,250,3.9
42,Tesla Model X Plaid,All Wheel Drive,7,95.0,https://ev-database.org/car/1408/Tesla-Model-X-Plaid,209,630.0,115970.0,455,262,2.6
43,Audi e-tron GT quattro,All Wheel Drive,4,85.0,https://ev-database.org/car/1420/Audi-e-tron-GT-quattro,202,1030.0,106050.0,420,245,4.1
44,Hyundai Kona Electric 39 kWh,Front Wheel Drive,5,39.2,https://ev-database.org/car/1422/Hyundai-Kona-Electric-39-kWh,160,210.0,36400.0,245,155,9.9
45,Hyundai Kona Electric 64 kWh,Front Wheel Drive,5,64.0,https://ev-database.org/car/1423/Hyundai-Kona-Electric-64-kWh,164,370.0,42900.0,390,167,7.9
46,Porsche Taycan 4S Cross Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1930/Porsche-Taycan-4S-Cross-Turismo,190,1080.0,119914.0,440,240,4.1
47,Porsche Taycan Turbo Cross Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1931/Porsche-Taycan-Turbo-Cross-Turismo,197,1050.0,165848.0,425,250,3.3
48,Porsche Taycan Turbo S Cross Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1932/Porsche-Taycan-Turbo-S-Cross-Turismo,204,1010.0,199168.0,410,250,2.9
49,Kia EV6 GT,All Wheel Drive,5,74.0,https://ev-database.org/car/1471/Kia-EV6-GT,206,940.0,72990.0,360,260,3.5
50,BMW iX xDrive40,All Wheel Drive,5,71.0,https://ev-database.org/car/1472/BMW-iX-xDrive40,197,480.0,77300.0,360,200,6.1
51,BMW iX xDrive50,All Wheel Drive,5,105.2,https://ev-database.org/car/1473/BMW-iX-xDrive50,208,680.0,100100.0,505,200,4.6
52,MG MG5 Electric Long Range,Front Wheel Drive,5,57.4,https://ev-database.org/car/1474/MG-MG5-Electric-Long-Range,171,330.0,38490.0,335,185,7.7
53,MG Marvel R Performance,All Wheel Drive,5,70.0,https://ev-database.org/car/1475/MG-Marvel-R-Performance,200,380.0,50990.0,350,200,4.9
54,Hyundai IONIQ 5 Standard Range 2WD,Rear Wheel Drive,5,54.0,https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD,183,720.0,43900.0,295,185,8.5
55,Kia EV6 Standard Range 2WD,Rear Wheel Drive,5,54.0,https://ev-database.org/car/1480/Kia-EV6-Standard-Range-2WD,177,750.0,46990.0,305,185,8.5
56,Kia EV6 Long Range 2WD,Rear Wheel Drive,5,74.0,https://ev-database.org/car/1481/Kia-EV6-Long-Range-2WD,180,1070.0,51990.0,410,185,7.3
57,Kia EV6 Long Range AWD,All Wheel Drive,5,74.0,https://ev-database.org/car/1482/Kia-EV6-Long-Range-AWD,185,1050.0,55980.0,400,185,5.2
58,Mercedes EQS 450+,Rear Wheel Drive,5,108.4,https://ev-database.org/car/2008/Mercedes-EQS-450plus,171,950.0,109551.0,635,210,6.1
59,Mercedes EQS 580 4MATIC,All Wheel Drive,5,108.4,https://ev-database.org/car/2011/Mercedes-EQS-580-4MATIC,184,880.0,141705.0,590,210,4.3
60,Volkswagen ID.4 Pure,Rear Wheel Drive,5,52.0,https://ev-database.org/car/2027/Volkswagen-ID4-Pure,182,360.0,40335.0,285,160,9.0
61,Audi Q4 e-tron 40,Rear Wheel Drive,5,76.6,https://ev-database.org/car/1490/Audi-Q4-e-tron-40,189,630.0,51900.0,405,160,8.5
62,Audi Q4 e-tron 50 quattro,All Wheel Drive,5,76.6,https://ev-database.org/car/1491/Audi-Q4-e-tron-50-quattro,199,550.0,57900.0,385,180,6.2
63,Audi Q4 Sportback e-tron 50 quattro,All Wheel Drive,5,76.6,https://ev-database.org/car/1492/Audi-Q4-Sportback-e-tron-50-quattro,192,570.0,59900.0,400,180,6.2
64,Mercedes EQB 350 4MATIC,All Wheel Drive,7,66.5,https://ev-database.org/car/1493/Mercedes-EQB-350-4MATIC,196,490.0,58200.0,340,160,6.2
65,Mercedes EQB 350 4MATIC,All Wheel Drive,7,66.5,https://ev-database.org/car/1990/Mercedes-EQB-350-4MATIC,193,500.0,58197.0,345,160,6.2
66,Mercedes EQA 300 4MATIC,All Wheel Drive,5,66.5,https://ev-database.org/car/1495/Mercedes-EQA-300-4MATIC,190,500.0,,350,160,7.7
67,Mercedes EQA 300 4MATIC,All Wheel Drive,5,66.5,https://ev-database.org/car/1986/Mercedes-EQA-300-4MATIC,187,510.0,53520.0,355,160,7.7
68,Mercedes EQA 350 4MATIC,All Wheel Drive,5,66.5,https://ev-database.org/car/1496/Mercedes-EQA-350-4MATIC,190,500.0,,350,160,6.0
69,Mercedes EQA 350 4MATIC,All Wheel Drive,5,66.5,https://ev-database.org/car/1987/Mercedes-EQA-350-4MATIC,187,510.0,56424.0,355,160,6.0
70,Toyota PROACE Verso M 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1514/Toyota-PROACE-Verso-M-75-kWh,257,290.0,64530.0,265,130,13.1
71,Toyota PROACE Verso L 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1515/Toyota-PROACE-Verso-L-75-kWh,262,280.0,65385.0,260,130,13.1
72,CUPRA Born 150 kW - 58 kWh,Rear Wheel Drive,5,58.0,https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh,166,470.0,39370.0,350,160,7.3
73,CUPRA Born 170 kW - 58 kWh,Rear Wheel Drive,5,58.0,https://ev-database.org/car/1517/CUPRA-Born-170-kW---58-kWh,168,460.0,40750.0,345,160,6.6
74,CUPRA Born 170 kW - 77 kWh,Rear Wheel Drive,4,77.0,https://ev-database.org/car/1518/CUPRA-Born-170-kW---77-kWh,171,630.0,46450.0,450,160,7.0
75,BMW i4 M50,All Wheel Drive,5,80.7,https://ev-database.org/car/1519/BMW-i4-M50,179,700.0,70800.0,450,225,3.9
76,Renault Megane E-Tech EV60 220hp,Front Wheel Drive,5,60.0,https://ev-database.org/car/1521/Renault-Megane-E-Tech-EV60-220hp,158,530.0,46600.0,380,160,7.4
77,Peugeot e-Rifter Standard 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1522/Peugeot-e-Rifter-Standard-50-kWh,226,330.0,41240.0,205,135,11.7
78,Peugeot e-Rifter Long 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1523/Peugeot-e-Rifter-Long-50-kWh,232,320.0,42440.0,200,135,11.7
79,Audi Q4 e-tron 45 quattro,All Wheel Drive,5,77.0,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro,195,590.0,54950.0,395,180,6.6
80,Audi Q4 Sportback e-tron 40,Rear Wheel Drive,5,76.6,https://ev-database.org/car/1528/Audi-Q4-Sportback-e-tron-40,180,660.0,53900.0,425,160,8.5
81,Renault Megane E-Tech EV40 130hp,Front Wheel Drive,5,40.0,https://ev-database.org/car/1536/Renault-Megane-E-Tech-EV40-130hp,154,370.0,42000.0,260,150,10.0
82,Mercedes EQS AMG 53 4MATIC+,All Wheel Drive,5,108.4,https://ev-database.org/car/2012/Mercedes-EQS-AMG-53-4MATICplus,203,800.0,155009.0,535,250,3.4
83,Mercedes EQE 350+,Rear Wheel Drive,5,90.6,https://ev-database.org/car/2006/Mercedes-EQE-350plus,171,790.0,82200.0,530,210,6.4
84,MG ZS EV Standard Range,Front Wheel Drive,5,49.0,https://ev-database.org/car/1540/MG-ZS-EV-Standard-Range,185,250.0,33990.0,265,175,8.6
85,MG ZS EV Long Range,Front Wheel Drive,5,68.3,https://ev-database.org/car/1541/MG-ZS-EV-Long-Range,185,420.0,37990.0,370,175,8.4
86,Mercedes EQV 250 Long,Front Wheel Drive,7,60.0,https://ev-database.org/car/1542/Mercedes-EQV-250-Long,286,200.0,68056.0,210,160,12.0
87,Mercedes EQV 250 Extra-Long,Front Wheel Drive,7,60.0,https://ev-database.org/car/1543/Mercedes-EQV-250-Extra-Long,286,200.0,68949.0,210,160,12.0
88,Opel Combo-e Life 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1544/Opel-Combo-e-Life-50-kWh,226,330.0,43050.0,205,135,11.7
89,Opel Combo-e Life XL 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1545/Opel-Combo-e-Life-XL-50-kWh,232,320.0,44750.0,200,135,11.7
90,Citroen e-Berlingo M 50 kWh,Front Wheel Drive,5,46.3,https://ev-database.org/car/1546/Citroen-e-Berlingo-M-50-kWh,226,330.0,37790.0,205,135,11.7
91,Citroen e-Berlingo XL 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1547/Citroen-e-Berlingo-XL-50-kWh,226,330.0,43640.0,205,135,11.7
92,Volkswagen ID.5 Pro,Rear Wheel Drive,5,77.0,https://ev-database.org/car/2031/Volkswagen-ID5-Pro,169,680.0,48970.0,455,180,6.7
93,Volkswagen ID.5 GTX,All Wheel Drive,5,77.0,https://ev-database.org/car/2033/Volkswagen-ID5-GTX,179,640.0,56455.0,430,180,5.5
94,Mercedes EQB 300 4MATIC,All Wheel Drive,7,66.5,https://ev-database.org/car/1559/Mercedes-EQB-300-4MATIC,196,490.0,55520.0,340,160,8.0
95,Mercedes EQB 300 4MATIC,All Wheel Drive,7,66.5,https://ev-database.org/car/1989/Mercedes-EQB-300-4MATIC,193,500.0,55519.0,345,160,8.0
96,Porsche Taycan GTS,All Wheel Drive,4,83.7,https://ev-database.org/car/1560/Porsche-Taycan-GTS,186,1110.0,139906.0,450,250,3.7
97,Porsche Taycan GTS Sport Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1561/Porsche-Taycan-GTS-Sport-Turismo,197,1050.0,140858.0,425,250,3.7
98,Toyota bZ4X FWD,Front Wheel Drive,5,64.0,https://ev-database.org/car/1564/Toyota-bZ4X-FWD,188,510.0,47490.0,340,160,7.5
99,Toyota bZ4X AWD,All Wheel Drive,5,64.0,https://ev-database.org/car/1565/Toyota-bZ4X-AWD,203,470.0,57390.0,315,160,6.9
100,Subaru Solterra AWD,All Wheel Drive,5,64.0,https://ev-database.org/car/1567/Subaru-Solterra-AWD,200,480.0,57490.0,320,160,6.9
101,Renault Megane E-Tech EV60 130hp,Front Wheel Drive,5,60.0,https://ev-database.org/car/1588/Renault-Megane-E-Tech-EV60-130hp,158,530.0,47000.0,380,150,10.5
102,SsangYong Korando e-Motion,Front Wheel Drive,5,56.0,https://ev-database.org/car/1589/SsangYong-Korando-e-Motion,193,330.0,40490.0,290,156,8.5
103,BMW iX M60,All Wheel Drive,5,105.2,https://ev-database.org/car/1590/BMW-iX-M60,217,650.0,136100.0,485,250,3.8
104,Tesla Model 3 Long Range Dual Motor,All Wheel Drive,5,75.0,https://ev-database.org/car/1992/Tesla-Model-3-Long-Range-Dual-Motor,149,780.0,55220.0,505,201,4.4
105,Citroen e-Jumpy Combi M 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1595/Citroen-e-Jumpy-Combi-M-50-kWh,250,290.0,51940.0,185,130,12.1
106,Citroen e-Jumpy Combi XL 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1596/Citroen-e-Jumpy-Combi-XL-50-kWh,257,290.0,52730.0,180,130,12.1
107,Citroen e-Jumpy Combi M 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1597/Citroen-e-Jumpy-Combi-M-75-kWh,257,290.0,57940.0,265,130,13.3
108,Citroen e-Jumpy Combi XL 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1598/Citroen-e-Jumpy-Combi-XL-75-kWh,262,280.0,58730.0,260,130,13.3
109,Opel Vivaro-e Combi M 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1600/Opel-Vivaro-e-Combi-M-50-kWh,250,290.0,50992.0,185,130,12.1
110,Opel Vivaro-e Combi L 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1601/Opel-Vivaro-e-Combi-L-50-kWh,257,290.0,51825.0,180,130,12.1
111,Opel Vivaro-e Combi M 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1602/Opel-Vivaro-e-Combi-M-75-kWh,257,290.0,56942.0,265,130,13.3
112,Opel Vivaro-e Combi L 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1603/Opel-Vivaro-e-Combi-L-75-kWh,262,280.0,57775.0,260,130,13.3
113,Peugeot e-Expert Combi Standard 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1605/Peugeot-e-Expert-Combi-Standard-50-kWh,250,290.0,51940.0,185,130,13.1
114,Peugeot e-Expert Combi Long 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1606/Peugeot-e-Expert-Combi-Long-50-kWh,250,290.0,52730.0,185,130,13.1
115,Peugeot e-Expert Combi Standard 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1607/Peugeot-e-Expert-Combi-Standard-75-kWh,257,290.0,57940.0,265,130,14.3
116,Peugeot e-Expert Combi Long 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1608/Peugeot-e-Expert-Combi-Long-75-kWh,262,280.0,58730.0,260,130,14.3
117,Toyota PROACE Shuttle M 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1609/Toyota-PROACE-Shuttle-M-50-kWh,250,290.0,58900.0,185,130,12.1
118,Toyota PROACE Shuttle L 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1610/Toyota-PROACE-Shuttle-L-50-kWh,257,290.0,68600.0,180,130,12.1
119,Toyota PROACE Shuttle M 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1611/Toyota-PROACE-Shuttle-M-75-kWh,257,290.0,60000.0,265,130,13.1
120,Toyota PROACE Shuttle L 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1612/Toyota-PROACE-Shuttle-L-75-kWh,262,280.0,69800.0,260,130,13.1
121,Mercedes eVito Tourer Long 90 kWh,Front Wheel Drive,7,90.0,https://ev-database.org/car/1615/Mercedes-eVito-Tourer-Long-90-kWh,290,310.0,64248.0,310,160,12.0
122,Mercedes eVito Tourer Extra-Long 90 kWh,Front Wheel Drive,7,90.0,https://ev-database.org/car/1616/Mercedes-eVito-Tourer-Extra-Long-90-kWh,295,310.0,65140.0,305,160,12.0
123,Mercedes eVito Tourer Long 60 kWh,Front Wheel Drive,7,60.0,https://ev-database.org/car/1617/Mercedes-eVito-Tourer-Long-60-kWh,286,310.0,60678.0,210,160,12.0
124,Mercedes eVito Tourer Extra-Long 60 kWh,Front Wheel Drive,7,60.0,https://ev-database.org/car/1618/Mercedes-eVito-Tourer-Extra-Long-60-kWh,293,300.0,61571.0,205,160,12.0
125,Tesla Model Y Long Range Dual Motor,All Wheel Drive,5,75.0,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor,172,670.0,59017.0,435,217,5.0
126,Porsche Taycan Sport Turismo,Rear Wheel Drive,4,71.0,https://ev-database.org/car/1621/Porsche-Taycan-Sport-Turismo,187,930.0,94091.0,380,230,5.4
127,Porsche Taycan Plus Sport Turismo,Rear Wheel Drive,4,83.7,https://ev-database.org/car/1622/Porsche-Taycan-Plus-Sport-Turismo,188,1090.0,99815.0,445,230,5.4
128,Porsche Taycan 4S Sport Turismo,All Wheel Drive,4,71.0,https://ev-database.org/car/1623/Porsche-Taycan-4S-Sport-Turismo,192,910.0,114559.0,370,250,4.0
129,Porsche Taycan 4S Plus Sport Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1624/Porsche-Taycan-4S-Plus-Sport-Turismo,195,1060.0,120081.0,430,250,4.0
130,Porsche Taycan Turbo Sport Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1625/Porsche-Taycan-Turbo-Sport-Turismo,207,1000.0,165372.0,405,260,3.2
131,Porsche Taycan Turbo S Sport Turismo,All Wheel Drive,4,83.7,https://ev-database.org/car/1626/Porsche-Taycan-Turbo-S-Sport-Turismo,212,970.0,198692.0,395,260,2.8
132,Volkswagen ID.4 Pro,Rear Wheel Drive,5,77.0,https://ev-database.org/car/2028/Volkswagen-ID4-Pro,177,650.0,46335.0,435,180,6.7
133,MG MG5 Electric Standard Range,Front Wheel Drive,5,46.0,https://ev-database.org/car/1646/MG-MG5-Electric-Standard-Range,174,320.0,35490.0,265,185,7.7
134,Genesis GV60 Premium,Rear Wheel Drive,5,74.0,https://ev-database.org/car/1647/Genesis-GV60-Premium,190,1020.0,,390,185,7.8
135,Genesis GV60 Sport,All Wheel Drive,5,74.0,https://ev-database.org/car/1648/Genesis-GV60-Sport,195,990.0,63200.0,380,200,5.5
136,Genesis GV60 Sport Plus,All Wheel Drive,5,74.0,https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus,203,950.0,73100.0,365,235,4.0
