,Name,Drive,NumberofSeats,Battery,Car_name_link,Efficiency_Wh_km,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
173,Fiat E-Ulysse L2 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1722/Fiat-E-Ulysse-L2-75-kWh,257,290.0,61990.0,265,130,13.3
174,Fiat E-Ulysse L3 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1723/Fiat-E-Ulysse-L3-50-kWh,257,290.0,56990.0,180,130,12.1
175,Fiat E-Ulysse L3 75 kWh,Front Wheel Drive,7,68.0,https://ev-database.org/car/1724/Fiat-E-Ulysse-L3-75-kWh,262,280.0,62990.0,260,130,13.3
176,Genesis GV70 Electrified Sport,All Wheel Drive,5,74.0,https://ev-database.org/car/1725/Genesis-GV70-Electrified-Sport,211,860.0,67300.0,350,235,4.2
177,Fiat 500e 3+1 24 kWh,Front Wheel Drive,4,21.3,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,158,230.0,31000.0,135,135,9.0
178,Fiat 500e Cabrio 24 kWh,Front Wheel Drive,4,21.3,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh,158,230.0,35490.0,135,135,9.0
179,Hongqi E-HS9 84 kWh,All Wheel Drive,5,76.5,https://ev-database.org/car/1746/Hongqi-E-HS9-84-kWh,239,440.0,81000.0,320,200,6.5
180,Hongqi E-HS9 99 kWh,All Wheel Drive,5,90.0,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,243,430.0,93000.0,370,200,4.9
181,Smart #1 Brabus,All Wheel Drive,5,62.0,https://ev-database.org/car/1748/Smart-1-Brabus,197,490.0,48990.0,315,180,3.9
182,Kia e-Soul 64 kWh,Front Wheel Drive,5,64.0,https://ev-database.org/car/1749/Kia-e-Soul-64-kWh,173,350.0,46950.0,370,167,7.9
183,Kia e-Soul 39.2 kWh,Front Wheel Drive,5,39.2,https://ev-database.org/car/1750/Kia-e-Soul-392-kWh,170,200.0,40300.0,230,157,9.9
184,NIO ET7 75 kWh,All Wheel Drive,5,70.5,https://ev-database.org/car/1751/NIO-ET7-75-kWh,176,540.0,81900.0,400,200,3.8
185,NIO ET7 100 kWh,All Wheel Drive,5,90.0,https://ev-database.org/car/1752/NIO-ET7-100-kWh,178,530.0,90900.0,505,200,3.8
186,Ford Mustang Mach-E SR RWD,Rear Wheel Drive,5,72.6,https://ev-database.org/car/2034/Ford-Mustang-Mach-E-SR-RWD,191,460.0,55800.0,380,180,7.3
187,Ford Mustang Mach-E ER RWD,Rear Wheel Drive,5,91.0,https://ev-database.org/car/2035/Ford-Mustang-Mach-E-ER-RWD,190,420.0,58500.0,480,180,7.0
188,Ford Mustang Mach-E SR AWD,All Wheel Drive,5,72.6,https://ev-database.org/car/2036/Ford-Mustang-Mach-E-SR-AWD,207,430.0,59700.0,350,180,6.2
189,Ford Mustang Mach-E ER AWD,All Wheel Drive,5,91.0,https://ev-database.org/car/2037/Ford-Mustang-Mach-E-ER-AWD,204,390.0,65900.0,445,180,5.8
190,Ford Mustang Mach-E GT,All Wheel Drive,5,91.0,https://ev-database.org/car/2038/Ford-Mustang-Mach-E-GT,214,380.0,77300.0,425,200,3.7
191,Polestar 3 Long Range Dual motor,All Wheel Drive,5,107.0,https://ev-database.org/car/1758/Polestar-3-Long-Range-Dual-motor,218,640.0,88600.0,490,210,5.0
192,Polestar 3 Long Range Performance,All Wheel Drive,5,107.0,https://ev-database.org/car/1759/Polestar-3-Long-Range-Performance,228,610.0,95200.0,470,210,4.7
193,Mercedes EQE SUV 350+,Rear Wheel Drive,5,96.0,https://ev-database.org/car/2046/Mercedes-EQE-SUV-350plus,202,660.0,86811.0,475,210,6.9
194,Mercedes EQE SUV 350 4MATIC,All Wheel Drive,5,89.0,https://ev-database.org/car/1761/Mercedes-EQE-SUV-350-4MATIC,209,540.0,89500.0,425,210,6.6
195,Mercedes EQE SUV 350 4MATIC,All Wheel Drive,5,90.6,https://ev-database.org/car/2047/Mercedes-EQE-SUV-350-4MATIC,208,550.0,89548.0,435,210,6.6
196,Mercedes EQE SUV 500 4MATIC,All Wheel Drive,5,96.0,https://ev-database.org/car/2048/Mercedes-EQE-SUV-500-4MATIC,211,630.0,99841.0,455,210,4.9
197,Mercedes EQE SUV 500 4MATIC,All Wheel Drive,5,90.6,https://ev-database.org/car/1762/Mercedes-EQE-SUV-500-4MATIC,208,650.0,,435,210,4.9
198,Mercedes EQE SUV AMG 43 4MATIC,All Wheel Drive,5,90.6,https://ev-database.org/car/1763/Mercedes-EQE-SUV-AMG-43-4MATIC,218,620.0,124920.0,415,210,4.3
199,Mercedes EQE SUV AMG 53 4MATIC+,All Wheel Drive,5,90.6,https://ev-database.org/car/1764/Mercedes-EQE-SUV-AMG-53-4MATICplus,221,610.0,139438.0,410,240,3.5
200,Lotus Eletre R,All Wheel Drive,5,109.0,https://ev-database.org/car/1768/Lotus-Eletre-R,240,950.0,150990.0,455,260,2.9
201,Audi Q8 e-tron 50 quattro,All Wheel Drive,5,89.0,https://ev-database.org/car/1769/Audi-Q8-e-tron-50-quattro,209,660.0,74400.0,425,200,6.0
202,Audi Q8 e-tron 55 quattro,All Wheel Drive,5,106.0,https://ev-database.org/car/1770/Audi-Q8-e-tron-55-quattro,210,640.0,85300.0,505,200,5.6
203,Audi Q8 e-tron Sportback 50 quattro,All Wheel Drive,5,89.0,https://ev-database.org/car/1771/Audi-Q8-e-tron-Sportback-50-quattro,200,690.0,76650.0,445,200,6.0
204,Audi Q8 e-tron Sportback 55 quattro,All Wheel Drive,5,106.0,https://ev-database.org/car/1772/Audi-Q8-e-tron-Sportback-55-quattro,202,660.0,87550.0,525,200,5.6
205,Volvo EX90 Twin Motor,All Wheel Drive,7,107.0,https://ev-database.org/car/1775/Volvo-EX90-Twin-Motor,230,610.0,105550.0,465,180,5.9
206,Volvo EX90 Twin Motor Performance,All Wheel Drive,7,107.0,https://ev-database.org/car/1776/Volvo-EX90-Twin-Motor-Performance,238,590.0,110650.0,450,180,4.9
207,Mercedes EQB 250+,Front Wheel Drive,7,70.5,https://ev-database.org/car/1988/Mercedes-EQB-250plus,170,560.0,53514.0,415,160,8.9
208,Toyota Proace City Verso Electric L1 50 kWh,Front Wheel Drive,5,46.3,https://ev-database.org/car/1779/Toyota-Proace-City-Verso-Electric-L1-50-kWh,220,330.0,37800.0,210,135,11.2
209,Toyota Proace City Verso Electric L2 50 kWh,Front Wheel Drive,7,46.3,https://ev-database.org/car/1780/Toyota-Proace-City-Verso-Electric-L2-50-kWh,226,330.0,40150.0,205,135,11.2
210,ORA Funky Cat 48 kWh,Front Wheel Drive,5,45.4,https://ev-database.org/car/1781/ORA-Funky-Cat-48-kWh,175,240.0,38990.0,260,160,8.3
211,BMW i4 eDrive35,Rear Wheel Drive,5,67.0,https://ev-database.org/car/1785/BMW-i4-eDrive35,156,580.0,56500.0,430,190,6.0
212,NIO ET5 75 kWh,All Wheel Drive,5,70.5,https://ev-database.org/car/1786/NIO-ET5-75-kWh,178,530.0,59500.0,395,200,4.0
213,NIO ET5 100 kWh,All Wheel Drive,5,90.0,https://ev-database.org/car/1787/NIO-ET5-100-kWh,180,520.0,68500.0,500,200,4.0
214,NIO EL7 75 kWh,All Wheel Drive,5,70.5,https://ev-database.org/car/1788/NIO-EL7-75-kWh,207,460.0,85900.0,340,200,3.9
215,NIO EL7 100 kWh,All Wheel Drive,5,90.0,https://ev-database.org/car/1789/NIO-EL7-100-kWh,209,450.0,94900.0,430,200,3.9
216,DS 3 E-Tense,Front Wheel Drive,5,50.8,https://ev-database.org/car/1791/DS-3-E-Tense,169,480.0,40540.0,300,150,9.0
217,Opel Astra Electric,Front Wheel Drive,5,50.8,https://ev-database.org/car/1792/Opel-Astra-Electric,167,490.0,41990.0,305,170,9.2
218,Opel Astra Sports Tourer Electric,Front Wheel Drive,5,50.8,https://ev-database.org/car/1793/Opel-Astra-Sports-Tourer-Electric,169,480.0,43490.0,300,170,9.3
219,Mercedes EQS SUV 500 4MATIC,All Wheel Drive,7,108.4,https://ev-database.org/car/1795/Mercedes-EQS-SUV-500-4MATIC,221,730.0,124545.0,490,210,5.2
220,Volvo XC40 Recharge Single Motor,Rear Wheel Drive,5,66.0,https://ev-database.org/car/1796/Volvo-XC40-Recharge-Single-Motor,191,420.0,47500.0,345,180,7.3
221,Volvo XC40 Recharge Single Motor ER,Rear Wheel Drive,5,79.0,https://ev-database.org/car/1797/Volvo-XC40-Recharge-Single-Motor-ER,195,600.0,53000.0,405,180,7.3
222,Volvo XC40 Recharge Twin Motor,All Wheel Drive,5,79.0,https://ev-database.org/car/1798/Volvo-XC40-Recharge-Twin-Motor,203,580.0,59950.0,390,180,4.8
223,Volvo C40 Recharge Single Motor,Rear Wheel Drive,5,66.0,https://ev-database.org/car/1799/Volvo-C40-Recharge-Single-Motor,186,430.0,47500.0,355,180,7.3
224,Volvo C40 Recharge Single Motor ER,Rear Wheel Drive,5,79.0,https://ev-database.org/car/1800/Volvo-C40-Recharge-Single-Motor-ER,188,630.0,54450.0,420,180,7.3
225,Volvo C40 Recharge Twin Motor,All Wheel Drive,5,79.0,https://ev-database.org/car/1801/Volvo-C40-Recharge-Twin-Motor,198,600.0,61400.0,400,180,4.7
226,Renault Kangoo E-Tech Electric,Front Wheel Drive,5,45.0,https://ev-database.org/car/1802/Renault-Kangoo-E-Tech-Electric,205,230.0,39300.0,220,132,12.6
227,Maserati GranTurismo Folgore,All Wheel Drive,4,83.0,https://ev-database.org/car/1803/Maserati-GranTurismo-Folgore,195,990.0,198000.0,425,320,2.7
